date,habit,completed,notes
2025-11-01,Read 20 pages,yes,Finished a chapter on habit formation
2025-11-02,Read 20 pages,no,Too tired after work
2025-11-03,Gym workout,yes,Leg day felt strong
2025-11-04,Gym workout,no,Skipped had a work deadline
2025-11-05,Meditate 10 min,yes,Used a breathing app
2025-11-06,Meditate 10 min,yes,Felt calmer than usual
2025-11-07,Drink 8 glasses water,no,Only had about 4
2025-11-08,Journal entry,yes,Wrote about travel plans
2025-11-09,Gym workout,yes,Upper body day
2025-11-10,Read 20 pages,yes,Almost done with the book
